MonthlyIncome,LoanAmount,ReturnTime,Age,JobType,IsApproved
4500,20000,24,35,Full-time,true
3000,15000,36,28,Student,false
6000,25000,12,40,Part-time,true
2500,10000,48,22,Unemployed,false
7000,30000,18,45,Full-time,true
5200,22000,24,32,Full-time,true
2800,12000,60,25,Student,false
8500,35000,12,38,Full-time,true
3500,18000,36,29,Part-time,false
4200,19000,30,34,Full-time,true
2100,8000,48,23,Student,false
6800,28000,18,42,Full-time,true
3200,16000,42,26,Part-time,false
9200,40000,12,44,Full-time,true
2600,11000,54,24,Unemployed,false
5800,24000,24,36,Full-time,true
3400,14000,48,27,Student,false
7200,32000,18,41,Full-time,true
2900,13000,42,25,Part-time,false
4800,21000,30,33,Full-time,true
6500,15000,12,35,Student,true
3100,25000,48,28,Part-time,false
5500,23500,24,37,Full-time,true
4200,8000,24,30,Unemployed,true
8000,34000,12,43,Full-time,true
3600,17000,36,30,Part-time,false
4900,20500,24,35,Full-time,true
2200,35000,54,26,Student,false
6200,26000,18,40,Full-time,true
3300,16500,42,29,Part-time,false
5100,22500,30,34,Full-time,true
4800,8500,18,28,Student,true
7500,31000,18,42,Full-time,true
1800,20000,48,27,Unemployed,false
6000,25500,24,38,Full-time,true
5200,12000,24,31,Part-time,true
4600,20000,30,33,Full-time,true
2800,13000,48,25,Student,false
7800,33000,12,44,Full-time,true
1500,25000,54,24,Unemployed,false
5400,23000,24,36,Full-time,true
4100,14000,30,32,Part-time,true
6700,29000,18,41,Full-time,true
2900,14000,48,26,Student,false
4400,19500,30,32,Full-time,true
3800,7000,24,29,Unemployed,true
8300,36000,12,45,Full-time,true
3800,18500,36,30,Part-time,false
5000,21500,24,34,Full-time,true
1900,18000,54,25,Student,false
7800,28000,18,39,Full-time,true
5500,16000,30,35,Part-time,true
4300,19000,36,31,Full-time,false
6200,12000,18,33,Student,true
3100,22000,48,27,Part-time,false
8500,25000,12,42,Full-time,true
2800,30000,60,26,Student,false
4900,18500,30,34,Full-time,true
3600,8500,24,28,Unemployed,true
6800,27000,18,40,Full-time,true
3200,19000,42,29,Part-time,false
5200,21000,30,35,Full-time,true
4500,35000,36,32,Full-time,false
7100,24000,18,41,Full-time,true
2600,15000,48,24,Student,false
5800,20000,24,36,Full-time,true
3900,12000,30,30,Part-time,true
4200,28000,36,33,Full-time,false
6500,18000,18,38,Full-time,true
3400,10000,24,27,Student,true
5100,32000,30,35,Full-time,false
2700,9000,48,25,Unemployed,false
7400,26000,18,42,Full-time,true
3800,17000,36,31,Part-time,false
4800,22000,30,34,Full-time,true
5900,40000,24,37,Full-time,false
6300,19000,18,39,Full-time,true
2900,13000,48,26,Student,false
4700,21500,30,33,Full-time,true
3500,35000,42,29,Part-time,false
8100,29000,12,44,Full-time,true
2400,16000,54,23,Student,false
5600,24000,24,36,Full-time,true
4000,11000,30,31,Part-time,true
6900,27500,18,40,Full-time,true
3300,38000,48,28,Student,false
5300,20500,30,35,Full-time,true
2800,7500,24,26,Unemployed,true
7600,31500,18,41,Full-time,true
3700,18000,36,30,Part-time,false
4600,23000,30,33,Full-time,true
6100,45000,24,38,Full-time,false
5700,17500,18,37,Full-time,true
2500,14000,48,25,Student,false
4900,20000,30,34,Full-time,true
3600,9500,30,29,Part-time,true
8200,33500,12,43,Full-time,true
2700,25000,54,24,Student,false
5500,22500,24,36,Full-time,true
4100,15000,30,32,Part-time,true
6600,28500,18,39,Full-time,true
3000,42000,48,27,Student,false
4800,19500,30,34,Full-time,true
3400,8000,24,28,Unemployed,true
7300,30000,18,42,Full-time,true
3900,16500,36,31,Part-time,false
5400,24500,30,35,Full-time,true
2600,50000,48,25,Student,false
